County Level Vaccination Data for Washington
Date generated: Wed Jan 26 2022 13:49:35 GMT+0100 (Central European Standard Time)
County,People with at least 1 Dose - Resident,People Fully Vaccinated - Resident,Percent of Total Pop with at least 1 Dose - Resident,Percent of Total Pop Fully Vaccinated - Resident,People 5+ Fully Vaccinated - Resident,People 5+ with at least 1 Dose - Resident,Percent of 5+ Pop with at least 1 Dose - Resident,Percent of 5+ Pop Fully Vaccinated - Resident,People 12+ Fully Vaccinated - Resident,People 12+ with at least 1 Dose - Resident,Percent of 12+ Pop with at least 1 Dose - Resident,Percent of 12+ Pop Fully Vaccinated - Resident,People 18+ with at least 1 Dose - Resident,Percent of 18+ Pop with at least 1 Dose - Resident,People 18+ Fully Vaccinated - Resident,Percent of 18+ Pop Fully Vaccinated - Resident,People 65+ with at least 1 Dose - Resident,People 65+ Fully Vaccinated - Resident,Percent 65+ Pop at least 1 Dose - Resident,Percent of 65+ Pop Fully Vaccinated - Resident,Total,% Population Fully Vaccinated with a Booster Dose,Population ≥ 18 Years of Age with a Booster Dose,% of Fully Vaccinated Population ≥ 18 Years of Age with a Booster Dose,Population ≥ 50 Years of Age with a Booster Dose,% of Fully Vaccinated Population ≥ 50 Years of Age with a Booster Dose,Population ≥ 65 Years of Age with a Booster Dose,% of Fully Vaccinated Population ≥ 65 Years of Age with a Booster Dose
Skagit County,93000,84105,72,65.1,84103,92994,76.4,69.1,82185,90244,81.5,74.2,84129,82.9,76781,75.7,27140,25368,95,91.3,41468,49.3,40569,52.8,29952,66.7,19352,76.3
Skamania County,4992,4548,41.3,37.6,4548,4992,43.2,39.3,4476,4883,45.8,42,4602,46.6,4219,42.8,1521,1443,56.8,53.9,2329,51.2,2281,54.1,1759,64.7,1061,73.5
Snohomish County,613154,562038,74.6,68.4,562026,613080,79.6,73,540621,585193,83.8,77.4,540672,84.7,499787,78.3,111127,103683,95,90.3,260189,46.3,252839,50.6,147827,63.3,76096,73.4
Spokane County,345858,308497,66.2,59,308494,345837,70.3,62.8,301318,335977,75.2,67.5,315222,77.3,282596,69.3,84314,77476,95,89.4,128753,41.7,126283,44.7,88017,58.9,54108,69.8
Stevens County,19694,17450,43.1,38.2,17450,19694,45.4,40.2,17165,19300,48.8,43.4,18331,50.9,16395,45.5,7445,6718,68.2,61.6,8012,45.9,7941,48.4,6612,57.2,4445,66.2
Thurston County,217982,191984,75,66.1,191983,217969,79.6,70.1,185418,209372,84,74.4,193464,84.5,171365,74.9,52243,46852,95,90.3,91291,47.6,88538,51.7,58564,65.2,34716,74.1
Unknown,293898,207101,N/A,N/A,207091,293858,N/A,N/A,205164,290052,N/A,N/A,280587,N/A,200004,N/A,59765,42785,N/A,N/A,40263,19.4,40006,20,26398,28.1,16412,38.4
Wahkiakum County,2329,2153,51.9,48,2153,2328,53.7,49.7,2128,2291,56.9,52.8,2206,59.3,2052,55.2,1039,985,70.2,66.5,954,44.3,949,46.2,807,53.4,562,57.1
Walla Walla County,41950,37558,69,61.8,37557,41946,72.9,65.3,36546,40617,77.2,69.5,38007,78.8,34189,70.9,10894,9686,95,85.2,16601,44.2,16176,47.3,11187,62.4,7073,73
Whatcom County,177946,159999,77.6,69.8,159994,177925,81.8,73.6,155164,171353,85.7,77.6,160730,86.7,145705,78.6,40535,37563,95,91.2,76977,48.1,75089,51.5,45712,64.5,27442,73.1
Whitman County,27670,22747,55.2,45.4,22747,27669,57.6,47.4,21954,26809,59.4,48.7,25443,59.7,20770,48.8,5110,4435,95,82.6,9653,42.4,9383,45.2,4952,58,2795,63
Yakima County,169698,149310,67.6,59.5,149305,169684,73.4,64.6,146118,164446,81.6,72.5,149437,84.5,133013,75.2,33196,30091,94.3,85.5,51946,34.8,50848,38.2,34563,55.8,20161,67
