Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
77211;77720;GRANDPUITS-BAILLY-CARROIS;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;120.0;2448.0;1.0;48.58232056968711,2.975824758653043;"{""coordinates"": [[[2.97127140658769, 48.55807060717957], [2.958354684259102, 48.56109826660775], [2.954094312848987, 48.56685379249095], [2.939674455405102, 48.565929819627414], [2.938030661613751, 48.56918532188192], [2.924510663228677, 48.57373818323719], [2.9204294943472293, 48.583342563966475], [2.923253880286997, 48.58961414100365], [2.951953710049049, 48.59549408898955], [2.987753015554648, 48.601853768652354], [3.0168013439819, 48.59356862399985], [3.026471181735306, 48.59607653619837], [3.035677189359355, 48.59321364870808], [3.034708655166726, 48.584533493407726], [3.029515763448312, 48.584265035266306], [3.01847561927698, 48.5731130268371], [2.983599805109785, 48.56834576457732], [2.975022068826203, 48.564422261040114], [2.97127140658769, 48.55807060717957]]], ""type"": ""Polygon""}";975;211;22;2;77;11
91386;91540;MENNECY;ESSONNE;ILE-DE-FRANCE;Chef-lieu canton;75.0;1115.0;13.3;48.558624218397924,2.437532360378652;"{""coordinates"": [[[2.465176547057712, 48.54147098158752], [2.445601112718157, 48.546562921086846], [2.425165596050208, 48.544477820202644], [2.402774167892405, 48.563195660270864], [2.412753598869674, 48.56521540050725], [2.422234048097816, 48.573222979020514], [2.439394862714953, 48.57706523154249], [2.442294558670131, 48.57719579971013], [2.456355291836143, 48.5638753819719], [2.456770495696642, 48.55781418163532], [2.4664715292002652, 48.556661659750596], [2.468750459207878, 48.55375724513956], [2.465176547057712, 48.54147098158752]]], ""type"": ""Polygon""}";33251;386;16;2;91;11
91619;91730;TORFOU;ESSONNE;ILE-DE-FRANCE;Commune simple;143.0;348.0;0.30000000000000004;48.53204942675463,2.234472045873927;"{""coordinates"": [[[2.235403341803649, 48.521674520412105], [2.233558857842424, 48.524640375344156], [2.219407835328401, 48.52543891249501], [2.220357113558389, 48.531733452004126], [2.224792515292262, 48.540479669370306], [2.23403801009056, 48.54005379846772], [2.248702968137771, 48.538627030534485], [2.248825676239885, 48.531952720635026], [2.249192841428551, 48.52901331336509], [2.235403341803649, 48.521674520412105]]], ""type"": ""Polygon""}";13120;619;09;1;91;11
78520;78550;RICHEBOURG;YVELINES;ILE-DE-FRANCE;Commune simple;131.0;1068.0;1.5;48.82480235524075,1.634601543033838;"{""coordinates"": [[[1.62005324865026, 48.801380857421606], [1.619150623926442, 48.8082156276237], [1.608708426105516, 48.8198419478032], [1.6219409891875092, 48.82888209418155], [1.620389342136468, 48.84478489589563], [1.623661860745005, 48.84884320321232], [1.6434577660021672, 48.83863552686867], [1.648559314586719, 48.8389541222476], [1.652197378614889, 48.84528242287145], [1.6589144112971872, 48.84163414446016], [1.6520735655552792, 48.823199039687346], [1.656204439236225, 48.82148255680223], [1.651272574321427, 48.812036412528954], [1.628816147810531, 48.803685484996464], [1.625488395219268, 48.804915556823836], [1.62005324865026, 48.801380857421606]]], ""type"": ""Polygon""}";15078;520;08;1;78;11
77384;77550;REAU;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;88.0;1329.0;1.1;48.60739313658914,2.62398597049378;"{""coordinates"": [[[2.600792369669901, 48.590156812211234], [2.596397775088799, 48.59383908910749], [2.58648426238363, 48.60251254365482], [2.598136762050963, 48.616396120216415], [2.613022761231556, 48.61774972239462], [2.629400688095477, 48.62502490691251], [2.637198869013361, 48.623618692608645], [2.656748437259034, 48.61984471623975], [2.663498085205199, 48.6145838262102], [2.653471232936348, 48.61482492623471], [2.653151914941414, 48.601592028292046], [2.644717477400379, 48.59337243575577], [2.616541425707574, 48.59485918952246], [2.600792369669901, 48.590156812211234]]], ""type"": ""Polygon""}";17914;384;41;2;77;11
91461;91340;OLLAINVILLE;ESSONNE;ILE-DE-FRANCE;Commune simple;104.0;1140.0;4.5;48.60630917870572,2.218881031380488;"{""coordinates"": [[[2.213635778196262, 48.58251631849727], [2.202598465293825, 48.58881187150006], [2.202005397474359, 48.59569861053622], [2.210105696785282, 48.608022676025676], [2.198579216705459, 48.61930703845516], [2.202972626420991, 48.6283859701903], [2.2062332742704, 48.63081851818379], [2.225495992754842, 48.62858852194573], [2.223949650794124, 48.62213772219798], [2.236369123525524, 48.61253885623989], [2.242900162947937, 48.603692959321364], [2.236085257947821, 48.59852193156314], [2.234895693911888, 48.58896989478759], [2.213635778196262, 48.58251631849727]]], ""type"": ""Polygon""}";5462;461;01;3;91;11
91044;91160;BALLAINVILLIERS;ESSONNE;ILE-DE-FRANCE;Commune simple;83.0;399.0;3.8;48.67132408019351,2.289138745020021;"{""coordinates"": [[[2.291325367895718, 48.65758521237107], [2.276122658583966, 48.66022836796183], [2.277011555011158, 48.67057810806104], [2.28612861475477, 48.686185361042405], [2.305157018848814, 48.67831925093628], [2.30007159073682, 48.66959134757039], [2.291325367895718, 48.65758521237107]]], ""type"": ""Polygon""}";16399;044;35;3;91;11
95197;95170;DEUIL-LA-BARRE;VAL-D'OISE;ILE-DE-FRANCE;Commune simple;49.0;373.0;21.7;48.971269017143534,2.326162901444091;"{""coordinates"": [[[2.328328131276182, 48.95966201911353], [2.320123477579794, 48.95840176610554], [2.31317673848308, 48.96222004237927], [2.315934055542482, 48.96440303577186], [2.310849159356492, 48.97193672433095], [2.315644385474291, 48.97188324758944], [2.3210309895484, 48.98093338987995], [2.3351570083382143, 48.980967547295336], [2.343399584564091, 48.980617275839236], [2.344308027829061, 48.97791550098313], [2.331950129043839, 48.96898963709094], [2.328328131276182, 48.95966201911353]]], ""type"": ""Polygon""}";9027;197;09;2;95;11
91079;91690;BOISSY-LA-RIVIERE;ESSONNE;ILE-DE-FRANCE;Commune simple;129.0;1249.0;0.5;48.382414662459695,2.1700508672125602;"{""coordinates"": [[[2.178830579602417, 48.3680548568777], [2.174064196806281, 48.36890346874147], [2.16648748662154, 48.364729638607635], [2.152642446912629, 48.36757357610333], [2.1484497014759, 48.36883014175342], [2.14754798717589, 48.37781197719457], [2.143300970707015, 48.38234297423507], [2.125023044925834, 48.383352116749435], [2.125646868132595, 48.38645177900922], [2.127582885192153, 48.39270112382734], [2.136908573616412, 48.39573845234451], [2.165625635362528, 48.389277119999264], [2.186363350871616, 48.38913335119989], [2.196628703873724, 48.39008508023644], [2.2032076306641892, 48.39541978505739], [2.218515860694113, 48.3944150305084], [2.217446274820098, 48.38640054073752], [2.209692876701483, 48.383703938292975], [2.201748087629287, 48.379431018358716], [2.196711636460091, 48.380233733151435], [2.178830579602417, 48.3680548568777]]], ""type"": ""Polygon""}";34976;079;17;1;91;11
77162;77510;DOUE;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;151.0;1999.0;1.0;48.87418850922888,3.1686653834079452;"{""coordinates"": [[[3.173439742000663, 48.84805401632875], [3.144793812745799, 48.861788813937565], [3.130284269512658, 48.86444948056881], [3.124598709925095, 48.86953665644734], [3.120827173494753, 48.871519006482], [3.121564421294399, 48.877822404099255], [3.140130511039683, 48.8864713784662], [3.160575056543736, 48.88748889196821], [3.167709510117788, 48.89244322434417], [3.187937688125885, 48.889391553622175], [3.193384475746452, 48.89452684715645], [3.208451849315562, 48.89023891032936], [3.216602291933175, 48.89233779035611], [3.213742002029173, 48.88660541231621], [3.209080611692384, 48.887198187245005], [3.205444834523404, 48.87816648831368], [3.209274366862775, 48.87093840009792], [3.175846880755432, 48.85471451833592], [3.173439742000663, 48.84805401632875]]], ""type"": ""Polygon""}";7352;162;26;3;77;11
77190;77370;FONTAINS;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;122.0;1433.0;0.30000000000000004;48.52176335697724,3.006870605578325;"{""coordinates"": [[[3.049158886340618, 48.523889538007566], [3.029382197811109, 48.51533209122958], [3.016732390475146, 48.50506129118164], [2.99144420293432, 48.505529946935546], [2.981371703495494, 48.50689616744585], [2.980907646941895, 48.517241299422125], [2.970179505128839, 48.52414784318793], [2.968550321724756, 48.53096617969891], [3.019031793741347, 48.53693294827587], [3.037640773973903, 48.53289845406026], [3.049158886340618, 48.523889538007566]]], ""type"": ""Polygon""}";12395;190;23;3;77;11
91495;91410;PLESSIS-SAINT-BENOIST;ESSONNE;ILE-DE-FRANCE;Commune simple;145.0;921.0;0.30000000000000004;48.44519941249592,2.003049952401073;"{""coordinates"": [[[1.9949439096573371, 48.42956536467244], [1.9897450515043822, 48.43347095074641], [1.9717059423168801, 48.437085785325415], [1.980522588094991, 48.45306864745172], [2.010230471370333, 48.45846632981835], [2.020279297525266, 48.45709218891815], [2.020849900537043, 48.45405593781041], [2.029559325458036, 48.45264296876209], [2.038487964945083, 48.445877957119286], [2.020889499748031, 48.43742083280579], [2.01131530755978, 48.437485400357815], [1.9949439096573371, 48.42956536467244]]], ""type"": ""Polygon""}";16069;495;07;1;91;11
77374;77135;PONTCARRE;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;115.0;960.0;2.0;48.796292771001035,2.707443665030603;"{""coordinates"": [[[2.713816662152812, 48.77544774039521], [2.710176443770087, 48.78159978187216], [2.705018822557863, 48.78154219073424], [2.695491082663285, 48.793408130785316], [2.680587790502668, 48.79524892932706], [2.676112468535689, 48.801289680388116], [2.686105414783503, 48.80130734634679], [2.681066933671944, 48.81039562291481], [2.693223334351909, 48.81561675752289], [2.702397004456139, 48.814111029631206], [2.716416164252884, 48.8054212691922], [2.721191899010972, 48.806044072914695], [2.728018127894976, 48.797299932155525], [2.7349209179914853, 48.781072639479106], [2.730177870743943, 48.779802880808255], [2.713816662152812, 48.77544774039521]]], ""type"": ""Polygon""}";14554;374;33;5;77;11
95658;95450;VIGNY;VAL-D'OISE;ILE-DE-FRANCE;Chef-lieu canton;103.0;681.0;1.1;49.08016555696095,1.9299232368245711;"{""coordinates"": [[[1.953222986701709, 49.07821305359114], [1.941797479772907, 49.07129693046831], [1.927023172868135, 49.06830639346181], [1.916637081660879, 49.06824018505472], [1.9044588557469542, 49.07462219526911], [1.922491372855045, 49.0914566423789], [1.921531264416136, 49.09482904527695], [1.939809668874306, 49.091547663950365], [1.9511767217502372, 49.085991368726425], [1.953222986701709, 49.07821305359114]]], ""type"": ""Polygon""}";26357;658;27;3;95;11
95181;95650;COURCELLES-SUR-VIOSNE;VAL-D'OISE;ILE-DE-FRANCE;Commune simple;85.0;364.0;0.30000000000000004;49.07302573796255,1.996301780216629;"{""coordinates"": [[[1.994738541025249, 49.063424687898134], [1.978613047633484, 49.06925951828916], [1.979823313377882, 49.07522259976495], [1.995076413018758, 49.0834259757298], [2.005836685128332, 49.07769760216049], [2.015039567216963, 49.07745864866235], [2.011789761986521, 49.06770252349294], [1.9977515706265452, 49.06612952882965], [1.994738541025249, 49.063424687898134]]], ""type"": ""Polygon""}";14526;181;27;3;95;11
77259;77230;LONGPERRIER;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;118.0;465.0;2.4;49.05096953594006,2.655424710260998;"{""coordinates"": [[[2.658493032185593, 49.03659058734194], [2.64323345934904, 49.04409930881132], [2.644442463624521, 49.06329107144277], [2.646017484952161, 49.065085041296385], [2.660160512720128, 49.06181697804737], [2.668886535893483, 49.05381184103218], [2.668511876856352, 49.043928953385915], [2.658493032185593, 49.03659058734194]]], ""type"": ""Polygon""}";22263;259;09;1;77;11
78444;78980;NEAUPHLETTE;YVELINES;ILE-DE-FRANCE;Commune simple;132.0;977.0;0.9;48.93534763502307,1.5422711327604062;"{""coordinates"": [[[1.54052316739963, 48.91848286002364], [1.538249402202991, 48.92169306091811], [1.5229545565692661, 48.924887307508165], [1.513924898541331, 48.92180754773845], [1.5080762328131532, 48.92729331014071], [1.511555841339165, 48.93353358987986], [1.5015238197988672, 48.941053606155144], [1.516311707354905, 48.9438818420581], [1.534334091345735, 48.938104534637475], [1.562163432609657, 48.94531305475173], [1.572177855946427, 48.95305960519231], [1.578977081794574, 48.95162042613721], [1.588070221913235, 48.94615165817276], [1.5813167186566952, 48.9409453685705], [1.562184683544807, 48.936148414958836], [1.545637258731873, 48.91910269579524], [1.54052316739963, 48.91848286002364]]], ""type"": ""Polygon""}";16483;444;02;1;78;11
92004;92600;ASNIERES-SUR-SEINE;HAUTS-DE-SEINE;ILE-DE-FRANCE;Chef-lieu canton;31.0;482.0;81.6;48.91535301225585,2.288038466299997;"{""coordinates"": [[[2.284270341799327, 48.90228379773861], [2.276380966601864, 48.90654413352254], [2.266398166116926, 48.906294552742324], [2.26545291890091, 48.9094723451974], [2.279358373227524, 48.91812724563629], [2.273314401521025, 48.92684997013363], [2.27303937214216, 48.93383585141546], [2.28278811409564, 48.93164634937702], [2.28726404650304, 48.9217537730926], [2.2988081271062493, 48.91472636332609], [2.31766970471796, 48.920608808831574], [2.3220207470967162, 48.91867302900511], [2.319818645919999, 48.91593565477114], [2.313758259741169, 48.914021542184294], [2.287389258968528, 48.90364238146715], [2.284270341799327, 48.90228379773861]]], ""type"": ""Polygon""}";21955;004;88;2;92;11
95633;95500;VAUDHERLAND;VAL-D'OISE;ILE-DE-FRANCE;Commune simple;71.0;9.0;0.1;49.00049672952898,2.486429562240601;"{""coordinates"": [[[2.48812447810072, 49.002202179463495], [2.489275226401863, 49.001928324173534], [2.4877618324821382, 48.99878359492473], [2.48576109915957, 48.99933255569826], [2.483493258228825, 48.99925087869588], [2.483776577094904, 49.000996586382236], [2.48812447810072, 49.002202179463495]]], ""type"": ""Polygon""}";2336;633;13;2;95;11
78474;78910;ORVILLIERS;YVELINES;ILE-DE-FRANCE;Commune simple;124.0;595.0;0.7000000000000001;48.85481040119983,1.6425210019461751;"{""coordinates"": [[[1.652197378614889, 48.84528242287145], [1.648559314586719, 48.8389541222476], [1.6434577660021672, 48.83863552686867], [1.623661860745005, 48.84884320321232], [1.630311264192674, 48.860306653088344], [1.642774220874628, 48.87063938826626], [1.6587771762088912, 48.867087110272315], [1.652197378614889, 48.84528242287145]]], ""type"": ""Polygon""}";2090;474;08;1;78;11
95543;95510;SAINT-CYR-EN-ARTHIES;VAL-D'OISE;ILE-DE-FRANCE;Commune simple;136.0;386.0;0.2;49.059130605008015,1.741957904736447;"{""coordinates"": [[[1.751176843177371, 49.04822659716713], [1.735637866897226, 49.0486845382924], [1.73206579580757, 49.05041845798452], [1.724417646973426, 49.054878819449826], [1.7413173952016732, 49.07286244177403], [1.746498828252773, 49.073114433452126], [1.748268019649474, 49.06729671285031], [1.759422161312399, 49.06328479831266], [1.751367853187022, 49.05507202707763], [1.751176843177371, 49.04822659716713]]], ""type"": ""Polygon""}";28659;543;16;3;95;11
78346;78980;LONGNES;YVELINES;ILE-DE-FRANCE;Commune simple;132.0;1400.0;1.5;48.9228573813519,1.579471288816797;"{""coordinates"": [[[1.583190131446946, 48.89422489379979], [1.57574961813095, 48.89893960605169], [1.56994865489829, 48.908485379737066], [1.562016794116239, 48.91308541826704], [1.541650516251664, 48.91575334328136], [1.54052316739963, 48.91848286002364], [1.545637258731873, 48.91910269579524], [1.562184683544807, 48.936148414958836], [1.5813167186566952, 48.9409453685705], [1.588070221913235, 48.94615165817276], [1.5891732182346412, 48.94525626031232], [1.6060885809168322, 48.93718875452583], [1.6089955215099292, 48.92701435669571], [1.586868498862356, 48.903442550951695], [1.587206448214507, 48.89652093120504], [1.583190131446946, 48.89422489379979]]], ""type"": ""Polygon""}";35113;346;08;1;78;11
77400;77515;SAINT-AUGUSTIN;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;110.0;1031.0;1.7000000000000002;48.78914496195393,3.028877330955356;"{""coordinates"": [[[3.026254179194815, 48.75833941231613], [3.015701414055227, 48.76937684019676], [3.006927964882938, 48.78799490222798], [3.022751421643599, 48.80531478371931], [3.036981953062978, 48.80867483780372], [3.037436217458063, 48.81553678847768], [3.049659592851394, 48.80955161588104], [3.051260061583304, 48.803156480613836], [3.057980266677542, 48.7981619285804], [3.040048849603499, 48.79513840818168], [3.038501278131033, 48.782502694491704], [3.028337314192575, 48.76173866004318], [3.026254179194815, 48.75833941231613]]], ""type"": ""Polygon""}";17645;400;07;1;77;11
95056;95270;BELLOY-EN-FRANCE;VAL-D'OISE;ILE-DE-FRANCE;Commune simple;132.0;952.0;1.9;49.09223958491873,2.371761287003789;"{""coordinates"": [[[2.396421051019481, 49.086488722391984], [2.375936580985816, 49.075504293615325], [2.375567671637037, 49.07204058693217], [2.370400129694798, 49.072696994714505], [2.362689565269869, 49.07981371153155], [2.349388066962709, 49.08065060577514], [2.345735860120957, 49.09021581710928], [2.361450841305992, 49.10705139711033], [2.391650782027316, 49.11036390910594], [2.38905458530621, 49.10752746783392], [2.393561136290431, 49.09809132974225], [2.389896664292286, 49.09183271553766], [2.396421051019481, 49.086488722391984]]], ""type"": ""Polygon""}";20948;056;26;2;95;11
95287;95810;GRISY-LES-PLATRES;VAL-D'OISE;ILE-DE-FRANCE;Commune simple;116.0;720.0;0.6000000000000001;49.13323466778634,2.048461153295624;"{""coordinates"": [[[2.043942985109399, 49.108201460727386], [2.030082450276473, 49.130902318950355], [2.041246622362162, 49.145872687285866], [2.0585465456801, 49.153247288888146], [2.06738791145883, 49.14336268427382], [2.061595575933246, 49.130226090655015], [2.047771655496755, 49.11972320730817], [2.050165869491819, 49.10942868399471], [2.043942985109399, 49.108201460727386]]], ""type"": ""Polygon""}";29787;287;17;3;95;11
94058;94170;LE PERREUX-SUR-MARNE;VAL-DE-MARNE;ILE-DE-FRANCE;Chef-lieu canton;46.0;396.0;32.2;48.84239523833366,2.504068485728146;"{""coordinates"": [[[2.504679851760673, 48.82972494684112], [2.497599519350123, 48.8308106206705], [2.491523260867017, 48.8476388283287], [2.499717550238719, 48.85567752564453], [2.503941324504135, 48.85723297930665], [2.513670428919681, 48.8501681266457], [2.511701114233563, 48.84363984772178], [2.516994873459801, 48.8340652516781], [2.514734807466692, 48.830989295308854], [2.504679851760673, 48.82972494684112]]], ""type"": ""Polygon""}";11335;058;21;2;94;11
77289;77171;MELZ-SUR-SEINE;SEINE-ET-MARNE;ILE-DE-FRANCE;Commune simple;88.0;1848.0;0.4;48.50408922025575,3.396941811858355;"{""coordinates"": [[[3.384093581302575, 48.478029192497985], [3.382610481879666, 48.478753673728825], [3.35854341802973, 48.51109758181075], [3.395380102657859, 48.52858568971581], [3.405398135568523, 48.52802119522403], [3.424828404766501, 48.512372443225594], [3.434908633778626, 48.49685383110299], [3.434637384957057, 48.49025168753388], [3.420498458956307, 48.490752383575554], [3.403747291057458, 48.48598857955684], [3.384093581302575, 48.478029192497985]]], ""type"": ""Polygon""}";9802;289;29;3;77;11
