County Level Latest Data for Washington
Date generated: Wed Jan 26 2022 13:51:54 GMT+0100 (Central European Standard Time)
FIPS code,State Name,County,Case count last 7 days ,Case rate /100k last 7 days ,Cases % change from previous week ,Test positivity rate - last 7 days,Test positivity rate - absolute change,Total diagnostic tests - last 7 days,Total diagnostic tests per 100k - last 7 days,Total diagnostic tests - % change from previous week,Death count last 7 days ,Total admissions of confirmed COVID-19 patients over the past 7 days of reports per 100000 people including both adult and pediatric patients,Death rate /100k last 7 days ,Deaths % change from previous week ,Population density - county,Average household size - county,Percent uninsured - county,Poverty rate - county,Percent population 65+ yrs - county,SVI,CCVI,Current date,Start date of 7 day window being captured in the case/death metrics,End date of 7 day window being captured in the case/death metrics,Start date of 7 day window being captured in the testing metrics,End date of 7 day window being captured in the testing metrics,Date of hospital data reports included in the latest table for a given county,Total number of hospitals reporting in a county for a particular day,Total admissions of confirmed COVID-19 patients over the past 7 days of reports including both adult and pediatric patients,Total admissions of confirmed COVID-19 patients over the past 7 days of reports per 100 inpatient beds including both adult and pediatric patients,Week over week percentage change in total COVID-19 admissions,Percentage of staffed adult inpatient beds used by confirmed COVID-19 patients over a trailing 7 day period,Week over week absolute change in percentage of staffed adult inpatient beds used by confirmed COVID-19 patients,Week over week absolute change in percentage of staffed adult ICU beds used by confirmed COVID-19 patients,Percentage of staffed adult ICU beds used by confirmed COVID-19 patients over a trailing 7 day period,Level of Community Transmission,Poverty rate - state,Percent population 65+ years - state,Population density - state,Average household size - state,Percent uninsured - state,Population density - US,Average household size - US,Percent uninsured - US,Poverty rate - US,Percent population 65+ years - US,Total county population,Metropolitan status,NCHS urban/rural class,RUCC description,Total state population,Total US population
53043,Washington,Lincoln County,172,1572.36,102.35,N/A,N/A,N/A,N/A,N/A,0,9.14,0.00,0,4.73,2.3,5.4,12.9,25.9,0.1984,0.37,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,1,1.96,-50,1.68,-0.84,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,10939,Non-metro,Noncore,Completely rural or less than 2500 urban population adjacent to a metro area,7614893,331996199
53045,Washington,Mason County,1369,2050.38,136.44,N/A,N/A,N/A,N/A,N/A,suppressed,23.96,suppressed,100,69.58,2.61,8.1,15,23.29,0.6382,0.79,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,16,45.34,-15.79,27.08,-1.8,-8.17,46,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,66768,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,7614893,331996199
53047,Washington,Okanogan County,567,1342.23,187.82,N/A,N/A,N/A,N/A,N/A,suppressed,11.84,suppressed,N/A,8.02,2.31,12.4,20.6,22.04,0.9255,0.85,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,5,19.89,66.67,8.14,5.06,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,42243,Non-metro,Noncore,Urban population of 2500 to 19999 adjacent to a metro area,7614893,331996199
53049,Washington,Pacific County,333,1481.91,278.41,N/A,N/A,N/A,N/A,N/A,suppressed,22.25,suppressed,N/A,24.07,2.31,7.4,17.4,32.2,0.736,0.77,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,5,22.73,-16.67,3.9,-5.2,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,22471,Non-metro,Noncore,Urban population of 2500 to 19999 not adjacent to a metro area,7614893,331996199
53051,Washington,Pend Oreille County,251,1828.91,318.33,N/A,N/A,N/A,N/A,N/A,0,21.86,0.00,-100,9.8,2.26,7.6,15.3,26.91,0.536,0.53,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,0,3,40.38,0,N/A,N/A,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,13724,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,7614893,331996199
53053,Washington,Pierce County,21636,2390.77,203.83,N/A,N/A,N/A,N/A,N/A,42,41.77,4.64,55.56,542.54,2.65,6.7,11.2,14.19,0.4873,0.26,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,6,378,24.92,-8.03,36.05,1.64,0,39.73,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,904980,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,7614893,331996199
53055,Washington,San Juan County,136,773.52,115.87,N/A,N/A,N/A,N/A,N/A,suppressed,0,suppressed,N/A,101.1,2.03,7.1,11.4,35.16,0.0863,0.11,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,0,0,N/A,0,0,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,17582,Non-metro,Noncore,Completely rural or less than 2500 urban population not adjacent to a metro area,7614893,331996199
53057,Washington,Skagit County,2142,1657.83,94.9,N/A,N/A,N/A,N/A,N/A,suppressed,34.83,suppressed,-66.67,74.68,2.55,7.7,12.8,21.5,0.5382,0.37,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,3,45,21.53,18.42,23.12,6.85,24.64,60.21,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,129205,Metro,Small metro,Counties in metro areas of fewer than 250000 population,7614893,331996199
53059,Washington,Skamania County,141,1166.93,90.54,N/A,N/A,N/A,N/A,N/A,0,N/A,0.00,-100,7.29,2.47,4.7,13.5,22.15,0.2194,0.26,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,12083,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,7614893,331996199
53061,Washington,Snohomish County,17708,2154.04,132.45,N/A,N/A,N/A,N/A,N/A,34,12.16,4.14,142.86,394,2.68,6.5,8.1,13.97,0.2755,0.19,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,3,100,11.66,-2.91,25.75,0.9,4.74,45.18,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,822083,Metro,Large fringe metro,Counties in metro areas of 1 million population or more,7614893,331996199
53063,Washington,Spokane County,12467,2384.67,275.51,N/A,N/A,N/A,N/A,N/A,20,28.12,3.83,150,296.39,2.43,5.6,14.4,16.57,0.4825,0.14,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,6,147,14.48,42.72,16.9,3.57,0.65,19.74,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,522798,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,7614893,331996199
53065,Washington,Stevens County,575,1257.57,155.56,N/A,N/A,N/A,N/A,N/A,suppressed,10.94,suppressed,0,18.46,2.52,7.6,15.6,23.87,0.4615,0.42,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,5,13.89,66.67,19.05,4.59,-2.65,71.43,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,45723,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,7614893,331996199
53067,Washington,Thurston County,6039,2078.57,215.35,N/A,N/A,N/A,N/A,N/A,suppressed,18.24,suppressed,-20,402.13,2.51,5.6,11,17.85,0.3299,0.34,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,53,11.59,-19.7,21.92,-4.92,-5.56,25.74,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,290536,Metro,Medium metro,Counties in metro areas of 250000 to 1 million population,7614893,331996199
53069,Washington,Wahkiakum County,32,713.01,300,N/A,N/A,N/A,N/A,N/A,0,N/A,0.00,0,17.07,2.24,7.2,7.8,33,0.1809,0.55,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,N/A,0,0,N/A,N/A,N/A,N/A,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,4488,Non-metro,Noncore,Completely rural or less than 2500 urban population adjacent to a metro area,7614893,331996199
53071,Washington,Walla Walla County,1506,2478.60,382.69,N/A,N/A,N/A,N/A,N/A,suppressed,32.92,suppressed,-75,47.84,2.47,8.1,13.8,18.7,0.6831,0.2,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,20,22.54,66.67,22.08,5.1,-6.59,29.67,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,60760,Metro,Small metro,Counties in metro areas of fewer than 250000 population,7614893,331996199
53073,Washington,Whatcom County,4350,1897.52,123.54,N/A,N/A,N/A,N/A,N/A,suppressed,36.64,suppressed,16.67,108.76,2.49,6.5,15,17.97,0.4541,0.28,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,1,84,34.15,13.51,28.8,5.58,9.63,58.13,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,229247,Metro,Small metro,Counties in metro areas of fewer than 250000 population,7614893,331996199
53075,Washington,Whitman County,693,1383.12,317.47,N/A,N/A,N/A,N/A,N/A,suppressed,15.97,suppressed,N/A,23.2,2.33,4.4,26.8,10.72,0.5108,0.21,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,0,8,31.28,-46.67,N/A,N/A,N/A,N/A,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,50104,Non-metro,Micropolitan,Urban population of 20000 or more adjacent to a metro area,7614893,331996199
53077,Washington,Yakima County,7740,3085.23,283.17,N/A,N/A,N/A,N/A,N/A,suppressed,39.46,suppressed,-14.29,58.42,2.98,13.5,18.2,14.04,0.9277,0.69,2022-01-25,2022-01-18,2022-01-24,2022-01-12,2022-01-18,2022-01-23,2,99,32.98,57.14,21.44,6.14,7.38,33.09,high,11.5,15.89,114.59,2.55,6.8,94,2.52,9.2,10.5,16.3,250873,Metro,Small metro,Counties in metro areas of fewer than 250000 population,7614893,331996199
