"Réseau	";" Intitulé original de l'indicateur";"Intitulé usager de l'indicateur";"Type d'indicateur";"Sources et méthodes";Affichage;Pondération;"Type d'Unité";Unité;"Code sp+ indicateur";"Type de graphe";"Type de graphe évolution";Utile;"Pas utile";"Date de mise à jour";Actif
"Ministère de l'Agriculture et de l'Alimentation";"Temps d'attente moyen au téléphone";"Temps d'attente moyen au téléphone";performance;"Temps moyen d'attente dans le cadre du recours à l'assistance téléphonique";Oui;;Temporel;seconde;IND-64;"Unique Valeur";Evolution;0;1;"lun 04/04/2022 - 12:22";Oui
"Etablissement Français du Sang";"Taux de retour au don des donneurs connus";"Performance - retour au don donneurs connus";performance;"% de donneurs connus de l'année N-1 revenu (quel que soit le lieu) en N rapporté au nombre total de donneurs connus de l'année N-1.";Oui;1;Taux;%;IND-96;"Multi Barres";Evolution;2;0;"lun 04/04/2022 - 12:22";Oui
"France services";"Taux de satisfaction globale";"Taux de satisfaction globale";satisfaction;;Oui;;Taux;%;IND-128;"Multi Barres";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Justice";"Délais moyen MJIE compris entre la date de réception de la mesure par le service désigné parle Magistrat et la date de prise en charge du jeune";"Délai moyen de prise en charge pour la mesure judiciaire d’investigation éducative";performance;;Oui;;Temporel;jour;IND-160;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
CCMSA;"xj est le délai moyen de paiement de vos feuilles de soin numériques";"Délai moyen de remboursement d'une feuille de soins";performance;"Enquête nationale de satisfaction & données trimestrielles de pilotage";Oui;;Temporel;jour;IND-192;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
MTE-MCTRCT;"Délai moyen de paiement une fois le dossier complet";"Délai moyen de paiement une fois le dossier complet";performance;;Oui;;Temporel;jour;IND-224;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
"Administration territoriale de l'Etat";"Score d'effort ressenti par les usagers pour les télé-procédures permis de conduire et certificats d'immatriculation des véhicules (cartes grises)";"Difficulté d'accès au téléprocédures Permis de conduire & Immatriculation";satisfaction;"Enquête conduite auprès d'un panel d'usagers sur la difficulté des usagers à demander leur carte grise ou leur permis de conduire sur internet, sur une échelle de 1 (démarche facile) à 5 (démarche compliquée). Source ANTS";Oui;;Note;5;IND-256;"Multi Barres";Evolution;1;1;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Justice";"Disponibilités des professionnels - questionnaire familles - Secteur Public";"Taux de satisfaction des responsables légaux quant à la disponiblité des professionnels";satisfaction;"Sources: Ministère de la justice/DPJJ. Méthodes: nombre de personnes déclarant que les professionnels qui les ont reçu dans une structure du secteur public (SP) ont été disponibles / nombre total des répondants à l'enquête de satisfaction familles exprimé en %";Oui;;Taux;%;IND-288;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
CNAV;"Part des dossiers garantie de versement payés à l'échéance";"Part des dossiers garantie de versement payés à l'échéance";performance;;Oui;;Taux;%;IND-11;"Multi Barres";Evolution;5;1;"lun 04/04/2022 - 12:22";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Activité partielle : Délai de traitement des dossiers";"Délai de traitement des dossiers concernant l'activité partielle";performance;"Délai de validation par l'ASP de la demande d'indemnisation permettant la première mise en paiement";Oui;;Temporel;jour;IND-43;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Taux d'insertion professionnelle à 33 mois pour le Certificat d'aptitude professionnel agricole (CAPA)";"Taux d'insertion professionnelle à 33 mois pour le CAPA";performance;"CAPA diplômés en 2014, interrogés en 2017";Oui;;Taux;%;IND-75;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
DGFIP;"Taux de satisfaction à l'issue d'une demande de rendez-vous";"Taux de satisfaction à l'issue d'une demande de rdv";satisfaction;"Cet indicateur correspond au taux d’usagers particuliers satisfaits à l’issue de leur demande de rendez-vous. Il est obtenu au moyen d’enquêtes en ligne réalisées tout au long de l’année auprès des usagers ayant pris un rendez-vous dans les mois précédents.";Oui;;Taux;%;IND-107;"Multi Barres";Evolution;2;20;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Culture";"Nombre d'entrées payantes et gratuites";"Nombre d'entrées payantes et gratuites";performance;"Source : Ministère de la Culture / Direction Générale des Patrimoines / Département de la politique des publics";Oui;;Nombre;visiteur;IND-139;"Multi Barres";Evolution;0;1;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Justice";"Délai d'attente (satisfaction)";"Taux de satisfaction relatif au délai d'attente";satisfaction;;Oui;;Taux;%;IND-171;"Multi Barres";Evolution;1;1;"lun 04/04/2022 - 12:22";Oui
MTE-MCTRCT;"Taux de satisfaction globale des bénéficiaires professionnels des actions de l'ADEME";"Taux de satisfaction globale des bénéficiaires professionnels des actions de l'ADEME";satisfaction;"Baromètre de satisfaction réalisé en collaboration avec l’Ifop en novembre 2019 auprès de 551 répondants parmi un échantillon de 20 000 contacts (Etat en Région, Collectivités, Entreprises et Organismes de recherche) note sur 10";Oui;;Note;10;IND-203;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
MTE-MCTRCT;"Part des demandes avec une première réponse dans les 30 jours";"Part des demandes avec une première réponse dans les 30 jours";performance;"Indicateur portant sur les demandes dématérialisées d'autorisation d'exercer la profession de transporteur routier, effectuées en ligne sur le portail https://demarches.developpement-durable.gouv.fr/loc_fr/demarche/requestcategory/transport/ 
Les demandes prises en compte à la date de calcul des indicateurs sont celles réceptionnées par les services instructeurs via le portail sur les 12 derniers mois. Pour rappel, les services instructeurs disposent d'un délai réglementaire de 3 mois, éventuellement prorogeable d'1 mois, pour se prononcer. 
Ces résultats sont impactés par la crise sanitaire sur l’année 2020.";Oui;;Taux;%;IND-235;"Unique Valeur";Evolution;0;1;"lun 04/04/2022 - 12:22";Oui
"Universités et écoles";"Taux d'insertion professionnelle à 18 mois des diplômés 2016 de licence - Droit-Economie-Gestion";"Taux d'insertion professionnelle des diplômés 2016 de licence - Droit-Economie-Gestion";performance;"MESRI-SIES (enquête d'insertion professionnelle à 18 et 30 mois des diplômés des diplômes d'université)";Oui;;Taux;%;IND-267;"Multi Barres";Evolution;3;1;"lun 04/04/2022 - 12:22";Oui
"CAISSE NATIONALE MILITAIRE DE SECURITE SOCIALE";"Satisfaction globale des échanges par courrier";"Taux de satisfaction relatif aux réponses par courrier";satisfaction;"L'indicateur exprime le pourcentage de personnes, ayant eu un contact récent avec la CNMSS (moins d'un an) et ayant déclaré être très satisfaites ou satisfaites sur ce canal (sur la base d'une question générale proposée lors d’une enquête de satisfaction).";Oui;;Taux;%;IND-22;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Taux de satisfaction des usagers de Vitiplantation";"Taux de satisfaction des usagers de Vitiplantation";satisfaction;"Bouton interministériel ""Je donne mon avis !""";Oui;;Taux;%;IND-54;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"Etablissement Français du Sang";"Note de satisfaction de la relation avec le personnel - sites fixes";"Satisfaction par rapport à l’accueil, à l’écoute et à l’accompagnement";satisfaction;"Issu de l'enquête de satisfaction menée auprès de plus de 33 000 donneurs ayant donné leur sang au cours de l'année 2019";Oui;;Note;10;IND-86;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
CNAF;"Délai de traitement moyen d'une demande";"Délai de traitement moyen d'une demande";performance;"Ces indicateurs illustrent la démarche d’association des usagers initiée par la Branche. En effet, le réseau des Caf organise des tests usagers réguliers dans le but d’évaluer la satisfaction de son offre de service. L’évolution des indicateurs retenus nous permettra d’évaluer l’efficacité de nos actions sur la satisfaction des usagers.";Oui;;Temporel;jour;IND-118;"Multi Barres";Evolution;9;3;"lun 04/04/2022 - 12:22";Oui
DSNJ;"Taux de satisfaction des usagers concernant les horaires d'accueil téléphonique";"Taux de satisfaction des usagers concernant les horaires d'accueil téléphonique";satisfaction;"Questionnaire joint à tout courriel de réponse";Oui;;Taux;%;IND-150;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Justice";"Satisfaction quant aux informations délivrées par le serveur vocal ou par un opération";"Taux de satisfaction relatif à la qualité des réponses vocales";satisfaction;;Oui;;Taux;%;IND-182;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
MTE-MCTRCT;"Nombre total de demandes de primes réceptionnées";"Nombre total de demandes de primes réceptionnées";performance;"Nombre total de demandes de primes réceptionnées : 376796 personnes";Oui;;Nombre;personne;IND-214;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
"Ministère du Travail, de l'Emploi et de l'Insertion";"Taux de satisfaction des entreprises après l'intervention de l'ANACT permettant de mettre en place des innovations d'amélioration des conditions de travail";"Taux de satisfaction après une intervention permettant la mise en place d'innovations";satisfaction;"Questionnaire à l'issue de chaque intervention (6 mois plan d'actions)
 Proportion d'entreprises ayant mis en œuvre partiellement ou intégralement les actions prévues dans le cadre du FACT";Oui;;Taux;%;IND-246;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
CCMSA;"Taux de réclamations traitées dans les délais (21j)";"x% de vos réclamations sont traitées dans les délais";performance;"Nombre de réclamations traitées dans les délais / Nombre total de réclamations enregistrées sur la période.";Oui;;Taux;%;IND-278;;Evolution;;;"lun 04/04/2022 - 12:22";Oui
INSEE;"Pertinence de l'Insee du point de vue des utilisateurs du site Insee.fr";"Pertinence de l'Insee du point de vue des utilisateurs du site Insee.fr";satisfaction;"Source : enquête annuelle « Image » auprès des visiteurs du site « Insee.fr », octobre 2021";Oui;;Taux;%;IND-1;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Fréquence d'actualisation de l'information sur le portail Internet dédié aux démarches administratives du MAA";"Part des informations actualisées sur le site « mesdémarches »";performance;"Données de publication sur le site mesdémarches.gouv.fr : 98 des 161 pages de démarches publiées ou vérifiées depuis moins d'un an";Oui;;Taux;%;IND-33;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Taux de satisfaction relatif à la demande d'aide aux surfaces";"Taux de satisfaction relatif à la demande d'aide aux surfaces";satisfaction;"284 avis déposés - 321 129 bénéficiaires des aides";Oui;;Taux;%;IND-65;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"Etablissement Français du Sang";"Taux de retour au don des nouveaux donneurs";"Performance - retour au don nouveaux donneurs";performance;"% de nouveaux donneurs de l'année N-1 revenu (quel que soit le lieu) en N rapporté au nombre total de nouveau donneurs de l'année N-1.";Oui;;Taux;%;IND-97;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"France services";"Taux de satisfaction relatif à l'équipement des locaux";"Taux de satisfaction relatif à l'équipement des locaux";satisfaction;;Oui;;Taux;%;IND-129;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Justice";"Délais moyen Réparation pénale compris entre la date de réception de la mesure par le service désigné parle Magistrat et la date de prise en charge du jeune";"Délai moyen de prise en charge concernant la réparation pénale";performance;;Oui;;Temporel;jour;IND-161;"Multi Barres";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
CCMSA;"Délai moyen de remboursement de vos soins avec la carte vitale";"Délai moyen de remboursement via la carte vitale";performance;"Enquête nationale de satisfaction & données trimestrielles de pilotage";Oui;;Temporel;jour;IND-193;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
MTE-MCTRCT;"Mesure de la satisfaction des usagers";"Mesure de la satisfaction des usagers";satisfaction;"Les travaux d'implémentation du bouton ""je donne mon avis"" sont planifiés au T2 2021.";Oui;;Taux;%;IND-225;;Evolution;;;"lun 04/04/2022 - 12:22";Oui
"Administration territoriale de l'Etat";"Taux de satisfaction globale des usagers pour la délivrance des titres";"Taux de satisfaction relatif à la délivrance des titres";performance;"Enquête de satisfaction nationale conduite par l’agence nationale des titres sécurisés (ANTS) concernant les télé-procédures relatives aux permis de conduire (hors auto-école), aux cartes grises et aux cartes nationales d’identité/passeports.";Oui;;Taux;%;IND-257;"Multi Barres";Evolution;0;2;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Justice";"Accueil attentif et courtois";"Taux global de satisfaction sur la qualité de l'accueil (bureau d'aide aux victimes)";satisfaction;"Source: Ministère de la justice/SADJAV. Méthodes: nombre de personnes déclarant avoir bénéficié d'un accueil attentif et courtois dans les bureaux d'aide aux victimes / nombre total de répondants à l'enquête de satisfaction exprimé en %";Oui;;Note;10;IND-289;;Evolution;;;"lun 04/04/2022 - 12:22";Oui
CNAV;"Taux d'appels téléphoniques entrants aboutis (téléconseillers+SVI)";"Taux d'appels téléphoniques entrants aboutis";performance;;Oui;;Taux;%;IND-12;"Multi Barres";Evolution;3;1;"lun 04/04/2022 - 12:22";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Apprentissage : Délai de traitement des dossiers";"Délai de traitement des dossiers concernant l'apprentissage";performance;"Délai de validation par l'ASP du contrat d'apprentissage permettant la première mise en paiement";Oui;;Temporel;jour;IND-44;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Taux de mention à l'examen pour Bac Professionnel";"Taux de mention à l'examen pour Bac Professionnel";performance;"DECIEA, décisionnel de l'enseignement agricole";Oui;;Taux;%;IND-76;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
DGFIP;"Taux de satisfaction globale (tous canaux confondus)";"Taux de satisfaction globale des usagers";satisfaction;"Cet indicateur est issu d’une enquête réalisée chaque année par un institut de sondage, auprès de 1000 usagers particuliers. Il tient compte de la satisfaction des usagers indiquant avoir eu un contact avec la DGFIP au cours des douze derniers mois quel que soit le canal de contact utilisé et se déclarant satisfaits ou très satisfaits de ce contact (guichet, téléphone, internet, courrier). Cet indicateur est mesuré au niveau national.";Oui;;Taux;%;IND-108;"Multi Barres";Evolution;3;17;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Culture";"Taux d'ouverture des salles";"Taux d'ouverture des salles";performance;"I = (N1 x N2 ) / (N3 x N4) exprimé en % avec :
N1 = nombre total de m² présentation des collections permanentes réellement ouverts ;
N2 = nombre réel d'heures d'ouverture au public ;
N3 = nombre total de m² présentation des collections permanentes totaux en état d'être ouverts au public ;
N4 = nombre théorique d'heures d'ouverture au public.";Oui;;Taux;%;IND-140;"Multi Barres";Evolution;0;1;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Justice";"Délai d'attente inférieur à";"Délai d'attente moyen global";performance;;Oui;;Temporel;minute;IND-172;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
MTE-MCTRCT;"Taux de satisfaction globale des bénéficiaires grand public des actions de l'ADEME";"Taux de satisfaction globale des bénéficiaires grand public des actions de l'ADEME";satisfaction;"Baromètre de satisfaction réalisé en collaboration avec l’Ifop en novembre 2019 auprès de 584 répondants parmi un échantillon de 4 110 individus âgés de plus de 18 ans, représentatifs de la population française et, interrogés en lignes et en auto-administré, note sur 10";Oui;;Note;10;IND-204;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
ONACVG;"Délai de traitement des demandes de cartes et titres";"Délai de traitement des demandes de cartes et titres";performance;"Le traitement des demandes concerne à la fois les demandes papier et celles en ligne";Oui;;Temporel;jour;IND-236;"Unique Valeur";Evolution;2;0;"lun 04/04/2022 - 12:22";Oui
"Universités et écoles";"Taux d'insertion professionnelle à 18 mois des diplômés 2016 de licence - Lettres-Langues-Arts";"Taux d'insertion professionnelle des diplômés 2016 de licence - Lettres-Langues-Arts";performance;"MESRI-SIES (enquête d'insertion professionnelle à 18 et 30 mois des diplômés des diplômes d'université)";Oui;;Taux;%;IND-268;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"CAISSE NATIONALE MILITAIRE DE SECURITE SOCIALE";"Satisfaction globale des échanges par mail";"Taux de satisfaction relatif aux réponses par email";satisfaction;"L'indicateur exprime le pourcentage de personnes, ayant eu un contact récent avec la CNMSS (moins d'un an) et ayant déclaré être très satisfaites ou satisfaites sur ce canal (sur la base d'une question générale proposée lors d’une enquête de satisfaction).";Oui;;Taux;%;IND-23;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Taux de satisfaction des usagers de Vitirestructuration";"Taux de satisfaction des usagers de Vitirestructuration";satisfaction;"Bouton interministériel ""Je donne mon avis !""";Oui;;Taux;%;IND-55;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"Etablissement Français du Sang";"Note de satisfaction de la relation avec le personnel - sites mobiles";"Satisfaction par rapport à l’accueil, à l’écoute et à l’accompagnement";satisfaction;"Issu de l'enquête de satisfaction menée auprès de plus de 33 000 donneurs ayant donné leur sang au cours de l'année 2019";Oui;;Note;10;IND-87;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
CNAF;"Délai de traitement moyen d'une demande d'aide au logement";"Délai de traitement moyen d'une demande d'aide au logement";performance;"Ces indicateurs illustrent la démarche d’association des usagers initiée par la Branche. En effet, le réseau des Caf organise des tests usagers réguliers dans le but d’évaluer la satisfaction de son offre de service. L’évolution des indicateurs retenus nous permettra d’évaluer l’efficacité de nos actions sur la satisfaction des usagers.";Oui;;Temporel;jour;IND-119;"Multi Barres";Evolution;5;3;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Justice";"Taux d’avis positifs sur la simplicité de la demande en ligne d’extrait de casier judiciaire";"Taux d’avis positifs sur la simplicité de la demande en ligne de casier judiciaire";satisfaction;"Issu de l’enquête de satisfaction menée auprès de 1 300 particuliers sur la démarche en ligne de demande d’extrait de casier judiciaire en mai 2019";Oui;;Taux;%;IND-151;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
CNAM;"Taux de satisfaction global des assurés";"Taux de satisfaction global des assurés";satisfaction;"Chaque année, l’Assurance Maladie mesure la satisfaction de ses assurés.
En 2020, ce baromètre a été dématérialisé et envoyé par e-mail, 51 000 assurés y ont répondu.

Chaque année, l’Assurance Maladie mesure la satisfaction de ses assurés.
L’enquête de satisfaction nationale 2018 est analysée à partir d’une base de 1 254 répondants pour un envoi de 6 000 questionnaires, soit un taux de retour de 20,9 .
La mesure de la satisfaction globale est issue de de la question : « Globalement, quel est votre niveau de satisfaction concernant votre caisse primaire d'assurance maladie ? »";Oui;;Taux;%;IND-183;"Multi Barres";Evolution;6;20;"lun 04/04/2022 - 12:22";Oui
MTE-MCTRCT;"Pourcentage de primes versées à des particuliers parmi les primes payées";"Pourcentage de primes versées à des particuliers parmi les primes payées";performance;;Oui;;Taux;%;IND-215;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
"Ministère du Travail, de l'Emploi et de l'Insertion";"Part de l'activité dédiée à la mise en œuvre du plan santé au travail";"Part de l'activité dédiée à la mise en œuvre du plan santé au travail";performance;"Outil de gestion analytique du temps opérationnel dédié aux actions du PST";Oui;;Taux;%;IND-247;"Unique Valeur";Evolution;1;0;"lun 04/04/2022 - 12:22";Oui
CCMSA;"Taux de personnes reçues sur RDV";"Nous recevons X% d'entre vous en rendez-vous";performance;"L’indicateur est le rapport entre la somme des RDV (des RDV EIR, des RDV EIR expatrié, des RDV nouvel installé, des RDV-P, des RDV législation, des RDV conseils) et la somme des contacts physique enregistrés dans ARSENE.";Oui;;Taux;%;IND-279;;Evolution;;;"lun 04/04/2022 - 12:22";Oui
INSEE;"Taux de succès des recherches d'information sur le site Insee.fr";"Taux de succès des recherches d'information sur le site Insee.fr";performance;"Source : enquête auprès des visiteurs du site « Insee.fr », quatrième trimestre 2021";Oui;;Taux;%;IND-2;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"Ministère de l'Agriculture et de l'Alimentation";"Taux de satisfaction relatif à la demande d'aide aux bovins alaitants et laitiers";"Taux de satisfaction relatif à la demande d'aide aux bovins alaitants et laitiers";satisfaction;"151 avis déposés - 137 369 bénéficiaires des aides";Oui;;Taux;%;IND-66;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"Réseau des rectorats et DSDEN";"Taux de demande de bourse réalisé en ligne pour les élèves scolarisés en collège";"Taux de demande de bourse réalisé en ligne pour les élèves scolarisés en collège";performance;;Oui;;Taux;%;IND-98;"Multi Barres";Evolution;4;7;"lun 04/04/2022 - 12:22";Oui
"Ministère de la Justice";"Délais moyen RRSE compris entre la date de réception de la mesure par le service désigné parle Magistrat et la date de prise en charge du jeune";"Délai moyen de prise en charge concernant le recueil de renseignement socio-éducatif";performance;;Oui;;Temporel;jour;IND-162;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
CCMSA;"Délai moyen pour payer vos feuilles de soin électronique";"Délai moyen pour payer vos feuilles de soin électronique";performance;"Enquête nationale de satisfaction & données trimestrielles de pilotage";Oui;;Temporel;jour;IND-194;"Multi Barres";Evolution;;;"lun 04/04/2022 - 12:22";Oui
MTE-MCTRCT;"Nombre total de demandes déposées";"Nombre total de demandes déposées";performance;"Extractions i-CITES du 1er janvier au 30 novembre 2020 - Nombre de demandes : 90539";Oui;;Nombre;demande;IND-226;"Unique Valeur";Evolution;;;"lun 04/04/2022 - 12:22";Oui
"Administration territoriale de l'Etat";"Taux d'appels aboutis en préfécture";"Taux d'appels pris en charge en préfecture";performance;"Taux d'appel pris en charge en préfecture";Oui;;Taux;%;IND-258;"Multi Barres";Evolution;3;1;"lun 04/04/2022 - 12:22";Oui
